original	corrected	count
yakinlari	yakınları	1
kararli	kararlı	1
katilmış	katılmış	1
Afrikali	Afrikalı	1
israrla	ısrarla	1
Islam’1	İslam’ı	1
nişani	nişanı	1
Yillik	Yıllık	1
bağlamışti	başlamıştı	1
Sancaklarini	Sancaklarını	1
mükalabaliğa	mukalabalığa	1
kiliğında	kılığında	1
sofularin	sofuların	1
Escurial’de	Escurıal’de	1
Xariffe	Xarıffe	1
hatirlatiliyordu	hatırlatılıyordu	1
tabakasi	tabakası	1
yazari	yazarı	1
kipırdamadan	kıpırdamadan	1
adadi	adadı	1
yanip	yanıp	1
rahatsizlik	rahatsızlık	1
kalacaği	kalacağı	1
aksadiğindan	aksadığından	1
çıkartilmasina	çıkartılmasına	1
Gianolino’ya	Gianolıno’ya	1
mallarinin	mallarının	1
birakti	bıraktı	1
Mirasinın	Mirasının	1
yaşamıni	yaşamını	1
halilari	halıları	1
bakima	bakıma	1
Fasli	Faslı	1
yaşindaydı	yaşındaydı	1
kesmi	kesin	1
sarayini	sarayını	1
hazirliğ1	hazırlığı	1
sorgulanmamiş	sorgulanmamış	1
manastirinda	manastırında	1
Iskender’in	İskender’in	1
halisindan	halısından	1
kuşatmasini	kuşatmasını	1
canlandiran	canlandıran	1
halilarinda	halılarında	1
anlatimiydi	anlatımıydı	1
ortaminda	ortamında	1
yillarin	yılların	1
inançlarini	inançlarını	1
