note	book	page	result	score	quote
Ramadan in İstanbul.md	Tarih Boyunca Türk Atasözleri (Aydın Oy)	p. 79	unmatched	0	XVII. yüzyıl: sabit N abi Nev'izade Atai Edirneli Hıfzı Salburcuoğlu Karacaoğlan
Ramadan in İstanbul.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 541	updated		Gunahi.m oe?Yuvrulannu, haggeten kiiguk Enveri {iporim4 Mayu 19221' 7 Ramazan 13 → Mayıs 1922 /7 Ramazan 1340 Çarşamba Sevgili melek, Naciye! Sana kaç gündür yazam
Ramadan in İstanbul.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 184	unmatched	0	Ramazanda oruç :.ıdığı gibi, Londra'da Müslümanların ibadethanesi olup ol- -.:::
Refugees (muhacir).md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 267	updated		Ya bu o muhacirler neler yine sefa]etlef Bi]mem ki Allah Anndoluya ncden venyor? → ölüp mahvolacak. Bilmem ki Allah Anadolu'ya böyleyi neden veriyor? Halil ile par
Refugees (muhacir).md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 321	updated		Bir de burn.Lji hir derisi kurk Artik muhacir oLdu#umuzd8-n hükl.ünet burru ken  → kuzu derisi kürk yaptracaklar. Artık muhacir olduğumuzdan hokumet bunu kendi dep
Refugees (muhacir).md	Atatürk'le Beraber (Mazhar Müfit Kansu)	p. 532	updated		husulüne kadar yerlerinden kaldırılmaınaları ve arnali milliyeye muhalif hareket → husulüne kadar yerlerinden kaldırılmaınaları ve arnali milliyeye muhalif hareket
Refugees (muhacir).md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 6	unmatched	0	Giriş "Bu kitapta yer alan kişilerin hepsi de uzun zaman önce öldü. ,:Cııkrığula
Turkism and Pan-Turkism.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 22	updated		Refik Turania, KUtUphane Mi.idiresi Uygal'a ve kijtüphane yet.kijileri Semiha Nu → Refik Turan'a, Kütüphane Müdiresi Nesecan Uysal'a ve kütüphane yetkilileri Semih
Turkism and Pan-Turkism.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 560	unmatched	0	Beyle•rinc "birer hatla mimäsebet Fak:lt, Kirgi2iartdmn Turan diirt yuz askerle 
31 March Incident (1909).md	Türkiye'de Hükümetler (İhsan Güneş)	p. 45	updated		Hüseyin Hilmi Pasa, isyan dolaysyla uzaklast1É1 sadrazamhga Hareket Ordusu'nun g → Hüseyin Hilmi Paşa, isyan dolayısıyla uzaklaştığı sadrazamlığa Hareket Ordusu’nu
31 March Incident (1909).md	Türkiye'de Hükümetler (İhsan Güneş)	p. 45	updated		Hüseyin Hilmi Pasa, isyan dolaysyla uzaklast1É1 sadrazamhga Hareket Ordusu'nun g → Hüseyin Hilmi Paşa, isyan dolayısıyla uzaklaştığı sadrazamlığa Hareket Ordusu’nu
31 March Incident (1909).md	Şahbaba (Murat Bardakçı)	p. 645	updated		..Cülûs-l hümayun ramazan nihayetlerinde vuku bulmuş… → Cülûs-l hümayun ramazan nihayetlerinde vuku bulmuş…
31 March Incident (1909).md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 116	updated		31 Mart 1921 Cieim. sevgilimv rübum, Neci•yecigim! Bu sabah dB st>kaga her *imi  → 31 Mart 1921 Cicim, sevgilim, ruhun, Naciyeciğim! Bu sabah da sokağa her işini b
31 March Incident (1909).md	İstanbul'da Hoş Bir Sada (Anna Grosser-Rilke)	p. 264	unmatched	85	Sultan'ın Karşı Darbesi: 31 Mart Büyük bir Alman gemisiyle Pire'den hareket etti
Adana events (1909).md	Türkiye'de Hükümetler (İhsan Güneş)	p. 164	updated		M#rutiyet'in ilantndan sonra özgürlüÅü keyfe göre hareket, hükümet görevlilerine → Meşrutiyet’in ilanından sonra özgürlüğü keyfe göre hareket, hükümet görevlilerin
Arab Revolt (1916-1918).md	Cemal Paşa Hatıralar (Cemal Paşa)	p. 457	unmatched	0	Dünya Savaşı 'na giriş, Gazze savunması, Arap isyanı, Suriye ve Filistin 'in işg
